Bahasa Ambon,English
minya wangi,n. perfume.
minya-minya,adj. oily smooth (of the sea).
minyak anging,n. heat rubbing oil.
miring,v. 1. tilt. 2. turn slightly. adj. 1. tilted. 2. (of the sun) descending. Matahari su miring. = The sun is on its way down.
misking,see kasiang.
misteer,"v. care, pay attention, take notice. Also parduli, parluu."
mo-moo,"adj. dumb, unable to speak."
moat,v. load (a cargo). Kapal ada moat kopra. = The ship is loading copra.
moatang,n. cargo.
modeblaat,"n. fashion magazine, Sears catalog."
modeel,"n. type, form. Also potongang."
molen,n. cement mixer.
molen daging,n. meat grinder.
molo,vi. submerge. vt. dive for. Ontua ada molo ikang = He is diving for fish. cf. tumbu.
momar,see ikang momar.
mongare,"n. a young, unmarried man. Ant jojaro."
mongki,n. monkey.
mongo-mongo,"adj. doddering, stupid."
monteer,n. mechanic.
moot,n. segment. v. cut into segments.
mop,n. joke.
morea,n. eel.
morea aer,"n. freshwater eel, Anguilla reinhardti."
mostar,n. A plant.
motor,n. 1. motor boat. 2. motor bike.
motor ikang,n. tuna fishing boat.
motor jomson,n. outboard motor boat.
motor landeng,n. military landing craft.
mou-mou,see mo-moo
muda,adj. 1. young. 2. unripe. Pisang muda = unripe banana. 3. light colored. Mera muda = light red = pink.
muka,n. 1. front part. Muka parau = front part of canoe. 2. area in front of. Di muka toko = In front of the store. 3. face. Muka mara = angry face. 4. edge. Muka parang = Sword edge.
muka broot,adj. of sullen and unfriendly countenance.
muka parang,n. sword edge.
muka tongke,adj. (?)
mulu,n. mouth.
mulu papalele,adj. given to tattling.
mulu tikus,see ikang mulu tikus.
mundur,"v. retreat, go in reverse. Also toro."
munta,vi. vomit.
munta dara,"v. cough up blood, be afflicted with tuberculosis."
munta-bera,v. be afflicted with vomiting and diarrhea.
musang,n. civet cat (family Viverridae). Also tingkalong.
musim,n. season.
mustajak,adj. efficacious.
mustika,n. mythical luminous jewel possessed by large pythons.
musu,n. enemy.
mutel,n. child's marble. Also kaneker.
muur,"n. 1. (mechanical) nut. Pasang muur di bout, Affix the nut to the bolt. 2. palm wine at a certain stage of fermentation. cf. aer neira."
naat,n. gap.
nae,"v. 1. climb, ascend, rise. 2. venture out upon the sea. Dong ada nae ka lao. = They are paddling out upon the sea."
nae-nae bunga,vi. be as areng sugar at a certain stage of production.
nafas,n. breath.
naga-naga,n. mast step(?)
nagasari,n. A kind of sweetmeat.
nai,vi. see nae.
najong,n. 1. outrigger spar attaching floats to canoe. 2. a kind of harpoon for spearing sea turtles(?) cf. ladong.
nama,n. name.
nama faam,n. surname.
nama kaciil,n. first name.
nama pangeel,n. nickname.
namu-namu,n. A kind of sweetmeat.
nanako,see nanaku.
nanaku,"v. 1. make a mental note of, mark mentally. 2. remember, know. Beta su seng nanaku jalang itu lai. = I no longer know the way. 3. calculate, predict. Beta nanaku tiga bulang lae su abis. = I predict it will be used up in three months."
nanala,vi. Be trying to someone's patience(?) Ose jang nanala deng beta. cf. cega-cega.
naneri,n. boar's tusk.
nangka,"n. A fruit tree, the jackfruit, Artocarpus heterophyllus or Artocarpus polyphema. cf. campadaa."
nangka balanda,"n. A fruit tree, the soursop, Annonamuricata."
nangka salak,n. A kind of jack fruit.
nani,n. 1. A tree (see kayu nani). 2. a kind of bamboo adze used to remove sago pulp from trunk.
nani aer,n. see kayu nani aer.
napa,v. here is. Napa akang. = Here it is.
napas,see nafas.
nasi,n. cooked rice.
nasi jaha,n. rice cooked with coconut milk in a length of green bamboo lined with banana leaf.
nasi kabuli,n. a kind of rice dish.
nasi kelapa,n. a coconut rice dish.
nasi pulu,n. sticky rice cooked with coconut milk in a length of bamboo.
nau-nau,"adj. quietly stupid. PAN namaw, sheltered water: deep place in a river; cove."
naumang,n. eczema. cf. paukar.
neces,adj. neat.
negatiif,adj. negative.
nekat,v. 1. dare and agree. Dia memang nekat mati. = He clearly dares to die. adv. dare to. Dia nekat pii. = He dares and agrees to go. itj. I dare and agree!
nene,n. grandmother or great aunt. Ant tete.
nene moyang,n. ancestor. Also tete nene moyang.
neptang,"n. pliers. Also kakatua, kataang."
nganga,v. stare at. Mangapa dia nganga beta? = Why is she staring at me?
nibong,n. A palm tree. cf. aruleng.
nika,v. get married officially.
niku,vi. pay attention. Beta tar niku = I paid not the slightest attention.
nimya tana,n. kerosene.
nipa,"n. the nipa palm, Nypa fructicans."
nipis,see tipis.
niri,"n. bee, wasp."
niri gula,n. honey bee (family Apidae).
niri madu,n. honey bee.
nitu,n. 1. dead person. 2. ghost of a dead person.
no,"adv. isn't it? Adverb eliciting agreement. Basaar no? Big isn't it? sbr. then. Kalo bagitu no katong mao biking apa? = If that is the case, then what shall we do? seq. then. No Tete? Then (what about) Tete?"
nodek,vi. pay attention. Tar nodek = pay no attention.
nogi-nogi,n. rage. Ana pung nogi-nogi su nae. His rage is up (he is mad). --Roy Sekewael (Oma)
nomor,n. number.
nona,n. girl. Form of address for a female younger than oneself. Ant. nyoong.
nonae,n. fish bait.
nunas,n. keel.
nusa,"n. (in toponyms) island, peninsula."
nyaa,n. married female Chinese shop keeper. Ant. ence.
nyado,see konyado.
nyadu,see konyado.
nyali,n. the guts to do something. Dia tidak punya nyali membunuh. = She didn't have the heart to kill.
nyamu,n. mosquito.
nyanyau,see kawa nya-nyau.
nyawa,"n. life, soul."
nyilu,adj. painful like teeth set on edge.
nyimu,n. multi-strand cord.
nyiru,"n. shallow, round bamboo basket for winnowing."
nyong,see nyoong.
nyonya,n. married lady.
nyoong,n. lad. Form of address for a male younger than oneself. Ant nona.
nyora,n. wife of a prominent person.
o,"prn. thou (short for ""ose""). adv. word appended at the ends of lines of poetry. cf. e."
oba,n. 1. medicine or medication. 2. active agent. v. alter. cf. roba.
oba pasang,n. gun powder.
oba sageru,n. a root used in the palm-wine fermentation process.
obeng,n. screwdriver. Also skrupmees.
obor,n. torch.
oe,"itj. hey! PAN oe, interjection or exclamation to call attention."
oeng,n. heartwood.
ofen,n. oven.
ofor,v. pass (something to someone).
oh,"itj. exclamation of disapproval, dislike or disbelief."
okoor,v. 1. agree. 2. conspire. Dong dua akoor par mau bunu ontua. = The two of them conspired to kill him.
olahraga,"n. sports, athletics."
ole,"adv. yes. Ole, sio, sayang! = Yes, alas, compassion!"
ole-ole,n. A gift brought home for someone left behind on a journey.
oma,n. grandmother (in address).
omaa,n. grandmother.
omba,n. wave.
omba hela,n. a kind of ocean wave.
omba pica-pica,n. breaking waves
omba-omba,adj. wavy. Rambu omba-omba = wavy hair.
ombong,n. dew.
ompong,adj. toothless
onar,adj. (of reputations) sullied.
ondo,n. A kind of vine bearing fruit suitable for vegetable dishes.
ondos,"v. be forward or fresh. adj. forward, fresh. (especially if showing an inordinate interest in the opposite sex). cf. laepose."
ong,"gdt. your (thy. Contraction of ""ose pung"")."
onosel,adj. inordinately inquisitive about or interested in things pertaining to the opposite sex.
ontal,"n. globular, sticky mass."
ontua,"prn. him/her (older person, usually respectful)."
oom,n. uncle. Form of address for a male patently older than oneself. cf. bung.
opa,n. grandfather (in address).
opaa,n. grandfather.
opal,v. tack (as a boat sailing into the wind).
opas,n. police (during the Dutch colonial period).
opsiir,n. officer.
orang,n. 1. person. 2. other person or people. Jang galojo orang pung barang. = Don't covet other people's property.
orang kaya,"n. A title given to certain village chiefs. cf. raja, kapala kampong, marinyo, maweng, kewang, kapitang."
oras,n. general time of day.
os,see ose.
ose,"prn. you (singular, non-respectful or deprecating). Also os, se."
ostar,n. oyster. cf. tirang.
Ostrali,n. Australia. adj. Australian.
oto,n. automobile.
oto bees,n. bus.
oto minya,n. oil truck.
oto sedan,n. sedan.
oto treek,n. truck.
otomatis,adj. automatic.
oweheer,n. elderly gentleman.
oxo,itj. I see!
oyang,n. great-grandparent. nickname for children named after their great-grandparents.
paal,n. marker post.
paan,n. pan.
paas,n. pace. Bajalang tiga paas = Walk three paces. adj. fitting exactly.
paas-paas,adv. exactly.
pace,n. familiar form of address for an older man.
pacol,n. mattock. Also cangkol.
padede,"n. fussy, whining."
pagar,n. fence. v. fence.
pageti,n. firecracker.
pagi,n. morning.
pago-pago,n. rattan loop connecting outrigger spar to float.
paha,n. thigh.
pahari,"vt. flush out (a phalanger known to be lurking in the bush). Could be ""paxari."""
pai,n. (pejorative) father. Ose pung pai = Your father. This word is not used in address. Ant. mai. n. father. adj. male. Ayang pai = rooster. Ant. mai.
pai tua,n. husband.
pakai,v. 1. use. 2. wear (as an article of clothing). 3. dress. Dia pake bagus. = She dresses nicely.
pakal,"v. caulk, pound fiber into boat seams to seal them. n. fiber for caulking."
pakansi,see fakansi.
pakatang,n. fettish.
pakatang pele-pele badang,n. fettish to protect one's person from physical attack.
pakeang,n. clothing.
pakeer,vt. park.
paku,n. nail. v. nail.
paku-paku,n. a kind of fern.
pakupeka,adj. in a knockneyed manner. Bajalang pakupeka.
pala,"n. A tree, the nutmeg, Myristica fragrans. v. strike forcefully. PAN (m)pala, fight."
pala-pala,n. wire.
palaat,adj. flat.
palasi,"adj. 1. totally turned away from some behavior as by a very bad experience. 2. saucy, cheeky(?) Io ose palasi taruus."
palastik,n. plastic sheet. cf. farlaak.
paleces,adj. talkative. Dalang mulu paleces lawang. --Roy Sekewael.
palekat,n. see kaeng palekat.
palena,v. boast untruthfully. Also hou.
paleo,v. waste time. adv. repeatedly. Jang ulang paleo talalu. = Don't repeat again and again.
paling,adv. very. cf. paskali.
palita,n. oil lamp having no chimney.
palka,n. hatch (on a boat).
palolo,vt. clear (an old garden site) for replanting(?)
palungku,see falungku.
pam-,prefix to form instrumental nouns.
pamabo,n. drunkard.
pamalas,v. be lazy. adj. lazy.
pamalas mandi,adj. not interested in taking baths.
pamara,"adj. given to anger. Pamara tar bae, = having a bad temper."
pamarenta,n. government.
pamarinta,see pamarenta.
pambera,v. shitter.
pambodo,adj. stupid.
pameri,v. clear away vegetation with a machete.
pamoi,v. A ceremony in which a wife is introduced. Also dudu meja.
pampano,n. A fish.
pampele,"n. partition, barrier, something that blocks off. cf. pele."
pamukul,"n. something used to strike, as a bat, clapper, etc."
pamutar,n. crank used for turning something. adj. given to twisting the truth.
pan-,Prefix to form instrumental nouns.
pana-pana,n. 1. bow (for shooting arrows). 2. slingshot. 3. spear gun.
panakuk,n. pancake. Also panekuuk.
panana,n. A poisonous lizard.
panas,n. sunshine. adj. 1. hot. 2. exposed to the direct rays of the sun. 3. angry.
pancadu,v. hack away most of the husk from (a coconut) with a machete.
pancandu,n. user of drugs.
pancing,v. 1. To fish with a hook. 2. To bait (someone) in conversation in order to obtain information. 3. To prime as a carburetor with gasoline or a pump with water.
pancorang,n. bamboo water pipe or pipeline.
pancuci,n. scrubber.
pancucu,n. skewer.
pancuri,v. steal. adj. stealing. Orang pancuri = thief.
pandang,n. A species of pandanus.
pandeta,n. clergyman.
pandita,see pandeta.
paneti,n. 1. sewing pin. 2. safety pin.
pang-,Prefix to form instrumental nouns.
panggale,see lawangka.
panggaloba,n. mocker(?)
panggayo,v. paddle.
panggayo angka angker,v. paddle raising water for ornamental effect.
panggayong,n. canoe paddle.
panggel,v. 1. summon. 2. call.
panggepe,n. 1. clamp. 2. a bundle of 25 sago-thatch sheets.
panggil,see panggel.
pangi,n. A kind of palm tree.
pangkat,n. rank.
pangkincing,n. pisser. adj. pissing.
pangkonto,n. farter. adj. farting.
pangkotor,adj. 1. dirty. 2. bestrewn with scraps or shavings.
pangku,n. lap. v. hold on one's lap.
pangkuku,n. pole used to poke fruit from tree branches.
paniki,"n. 1. A small bat. 2. male genitalia. cf. marsegu. PAN paniki, fruit bat, flying fox: %Pteropus% spp."
panjang,adj. long.
panjudi,n. gambler.
panoso,n. having a flattened appearance (of the nose). Ana idong panoso satu. = A flat-nosed child.
panta,"n. buttocks, bottom."
panta aer masing,n. bottom of the sea.
panta calana,n. buttocks of a pair of pants.
panta kuali,n. bottom of a wok.
panta lao,n. sea bottom.
panta parau,n. under part of a canoe.
panta parigi,n. bottom of a well.
panta poro,n. lower belly.
panta tacu,n. bottom of a wok.
pantada,n. support timber.
pante,n. beach. Also pinggir pante.
pantohar,n. pole used to frighten fish into a net.
pantong,"n. verse, rhyme."
pantongka,n. 1. prop. 2. (nautical) member keeping sides of hull apart.
pantoong,n. club.
panu,n. a common funggus that causes pale spots on the skin.
panyaki,n. disease.
panyaki su tua di badang,adj. become ingrained as a bad habit.
panyaki tatusu,n. any disease causing stabbing pain in the chest.
papaceda,"n. A shrub, Scaevola Koenigii Vahl., that grows in the sand along the seashore."
papalele,"v. peddle (usually vegetables or fish) from door to door, or retail as a small scale merchant on market lane."
papang,n. plank.
paparipi,v. rush. Jang paparipi barangkat. = Don't rush to leave.
paparisa,n. shelter built in a garden far from the village.
papeda,n. sago starch ready to eat.
papeda lao,n. jellyfish.
papi,n. father. Ant. mami.
papinyo,n. cucumber.
papua,"n. Papuan. adj. 1. frizzy. 2. tangled, twisted, kinky. Buang tasi papua itu suda. = Go ahead and throw that tangled fishing line away. n. New Guinea. adj. Melanesian."
par,prp. for.
par setang,To the Devil. Par Setang deng ose! = To the Devil with you!
para-para,n. bamboo rack or platform.
paraf,v. sign (a document).
parahu sela,n. one-man outrigger canoe of the type used for trolling in Oma.
parahu semang,n. outrigger canoe.
parampuang,"n. female human being. adj. female. Anjing parampuang = Female dog, bitch."
parampuang balu,n. widow.
parampuang busu,n. homosexual male human being.
parampuang kapala pica,n. prostitute.
parampuang moler,n. prostitute.
parang,"n. machete, sword."
parang isi,n. unsheathed sword.
paranggang,adj. young adult. Ayam paranggang = young rooster.
parau,"n. 1. canoe. 2. non-European sailing vessel. PAN paraqu, boat. PAN padaw, kind of sailboat."
parau belang,n. see arombae.
parau boot,n. sloop (usually Butonese).
parau layar,n. sailboat.
parcuma,"adj. useless. adv. uselessly, for nothing. Se biking itu parcuma. = You did that for nothing."
pardidu,"v. wander about for no good purpose, to drink or chase women, etc. adj. wandering. Dong bilang kata Herman Pardidu pung hantu bajalang di Belso. = They say wandering Herman's ghost walks in Balakang Soa. cf. maiare."
parduli,"v. care. Also misteer, parluu."
parenta,v. command.
pari,n. ray (the fish).
paricu,vi. cheat(?) Jang barmaeng deng tukang paricu tu.
parigi,n. well.
parii,"n. disposition, character."
pariu,n. cooking pot.
parkakas,n. 1. tool. 2. fetish.
parkara,n. legal case. Also haal.
parkici,"n. A small red parrot that lives in coconut groves, Charmosyna spp."
parlente,"n. lie. v. lie, lie to (someone). Dia parlente beta. = He lied to me."
parluu,v. 1. need. 2. (with negative) care. Beta seng parluu. = I don't care. cf. misteer.
